PT	AU	AF	CA	TI	SO	SE	ED	LA	DT	CE	DP	SC	DE	ID	AB	C1	RP	EM	RI	OI	U1	U2	PU	PI	PA	WP	SN	BN	J9	JI	PY	PD	VL	IS	PN	SU	SI	BP	EP	PG	DI	GA	UT	PM	OA	HC	HP	DA
J	Codesido, MDrozd, AAGado, PABilenca, D	Codesido, Mariano; Drozd, Andrea Alejandra; Gado, Patrick Anthony; Bilenca, David		Responses of a bird assemblage to manual shrub removal in a Chacoan subtropical semiarid forest, Argentina	ORNITOLOGIA NEOTROPICAL			Spanish	Article	Agriculture, Biology & Environmental Sciences (ABES)	ANIMAL SCIENCES	Zoology	Manual shrub removal, vegetation structure, bird assemblage, guilds, subtropical forest, Chaco, Argentina	COMMUNITY, ECOLOGY, FIRE	Responses of a bird assemblage to manual shrub removal In a Chacoan subtropical semiarid forest, Argentina. - We compared several attributes of vegetation structure of the understory and of bird species richness, guild abundance, and total abundance between a 200-ha area of semiarid Chacoan forest and another 200-ha area of the same forest where shrubs were manually removed, in Santiago del Estero province, Argentina. We seasonally recorded birds at 60 point count stations (30 in each type of habitat) between March 1998 and August 1999. The shrubless area showed higher percentages of herb cover and bare ground than the forest, whereas in the forest there were higher covers of litter and shrubs and a higher shrub height than in the shrubless area. Moreover, the shrubless area showed a lower species richness and bird abundance than the forest in summer. At the guild level, analyses revealed that bark insectivores were more abundant in the shrubless area, whereas foliage insectivores, terrestrial insectivores, and arboreal seed eaters were more abundant in the forest. Our results show that shrub removal has a great influence on the structure of bird assemblages, which persists several years later after the application of this technique. We recommend that, in case of massive shrub removal, stripes of shrubby vegetation should be maintained in order to guarantee the inclusion of shrub-associated bird species in the mosaic landscape.	[Codesido, M; Bilenca, D] Univ Buenos Aires, Dept Ecol Genet & Evoluc, FCEN, Buenos Aires, DF, Argentina; [Codesido, M; Bilenca, D] Consejo Nacl Invest Cient & Tecn, RA-1033 Buenos Aires, DF, Argentina; [Drozd, AA] Univ Nacl La Plata, Fac Ciencias Nat, LISEA, RA-1900 La Plata, Argentina; [Drozd, AA] Univ Nacl La Plata, Museo Fac Ciencias Agr Forestales, RA-1900 La Plata, Argentina; [Gado, PA] Ministerio Asuntos Agr, Estac Cria Anim Silvestres, RA-1900 La Plata, Buenos Aires, Argentina	Codesido, M (reprint author), Univ Buenos Aires, Dept Ecol Genet & Evoluc, FCEN, Ciudad Univ,Pabellon 2,4To Piso,C1428EHA, Buenos Aires, DF, Argentina.	mcodesido@ege.fcen.uba.ar			1	6	NEOTROPICAL ORNITHOLOGICAL SOC, USGS PATUXENT WILDLIFE RESEARCH CTR	ATHENS	UNIV GEORGIA, WARNELL SCH FOREST RESOURCES, ATHENS, GA 30602-2152 USA		1075-4377		ORNITOL NEOTROP	ORNITOL. NEOTROP.	2009		20	1				47	60	14		429YN	CCC:000264956100005					2019-04-10
J	Lebreton, PThevenot, M	Lebreton, Philippe; Thevenot, Michel		Comparison of Medio-european and Mediterranean fir and pine forest bird communities	REVUE D ECOLOGIE-LA TERRE ET LA VIE			French	Article	Agriculture, Biology & Environmental Sciences (ABES)	ENVIRONMENT/ECOLOGY	Environmental Sciences & Ecology			Bird communities of 11 fir forests (Abies pectinata and A. pinsapo + maroccana) and 6 pine forests (Pinus silvestris and P. pinaster) were compared along a 2000 kin transect from the Vosges (N.-E. France) to the Middle Atlas (Marocco). A common background of ca 15 Palearctic bird species accounts for three quarters of relative abundances in all communities. However, significant differences appear at several levels. (1) Between the medio-european and Mediterranean biogeographical areas, middle latitudes of Spain prevent the presence southward of ca 10 species, such as the Goldcrest and the Bullfinch. Conversely, although belonging to the same faunistic region, 11 species, such as the Short-toed "Free Creeper and the Serin, are more frequent in the Mediterranean than further north. Over the two forest types investigated, there are only 33 Passerine species, over a total of 54, common to Middle Europe and the Mediterranean area. (2) Abies and Pinus forests have in common a striking figure of 46 bird species. The distinctive species are the Firecrest and the Blackcap in fir forests, the Crested Tit and the Common Crossbill in pine forests. As already noted by various authors, as a consequence of its insularity and mesological peculiarities the Mediterranean forest avifauna can be considered as an impoverished version of its Medio-european counterpart. (3) At the broad regional scale, a multivariate analysis shows an avifaunistic gradient running from climacic forests, mainly on north-facing slopes from Vanoise (French Alps) to the Pyrenees, to para-climacic pre-forests, mainly on south-facing slopes, in Andalucia and Marocco. In the former case, boreal bird species account for three quarters of the abundances in the community but less than half in the latter where the rest consists predominantly of rather biogeographically and ecologically ubiquitous species (Carduelinae, Woodlark, Rock Bunting) which, for a mix of ecological and anthropogenic reasons, are able to colonize more and more common southward thermo-xerophilous and open wooded landscapes.	[Thevenot, M] Ecole Prat Hautes Etud, Lab Biogeog & Ecol Vertebres, Montpellier, France	Thevenot, M (reprint author), 353 Chemin Mendrous, F-34170 Castelnau Le Lez, France.	michelthevenot@wanadoo.fr			0	2	SOC NATL PROTECTION NATURE ACCLIMATATION FRANCE	PARIS 5	57 RUE CUVIER, 75005 PARIS 5, FRANCE		0249-7395		REV ECOL-TERRE VIE	Rev. Ecol.-Terre Vie	2009		64	2				171	188	18		463UN	CCC:000267457700007					2019-04-10
J	Nagaike, T	Nagaike, Takuo		Snag Abundance and Species Composition in a Managed Forest Landscape in Central Japan Composed of Larix kaempferi Plantations and Secondary Broadleaf Forests	SILVA FENNICA			English	Article	Agriculture, Biology & Environmental Sciences (ABES)	PLANT SCIENCES	Plant Sciences	long-rotation plantation, plantation age, snags, species composition	COARSE WOODY DEBRIS, PONDEROSA PINE FORESTS, ARIZONA MIXED-CONIFER, CAVITY-NESTING BIRDS, TROPICAL RAIN-FOREST, DOUGLAS-FIR FORESTS, OLD-GROWTH, DEAD WOOD, NORTHERN ARIZONA, SOUTHERN APPALACHIANS	Larix kaempferi is the main plantation species in the low-snow, cool-temperate zone of Japan. I studied L. kaempferi plantations of various stand ages in central Japan to examine and compare the effect of stand age on the abundance, size, and species composition of snags (standing dead trees) compared to those in secondary broadleaf forests. Plantations that were older than the standard rotation age had more and larger snags than young plantations, and the species diversity of snags was positively correlated with stand age. Because the density of living planted L. kaempferi showed little correlation with snag variables, whereas that of naturally regenerated tree species was positively correlated with snag variables, the density dependence of snag occurrence was stronger in naturally regenerated trees than in planted L. kaempferi. Snag species that were positively correlated with stand age were the main species in secondary broadleaf forests in this area. Basal area, density, and number of species of snags in standard-rotation plantations were significantly lower than in long-rotation plantations and secondary broadleaf forests. Long-rotation plantations are useful for retaining snags compared to standard-rotation plantations.	Yamanashi Forest Res Inst, Masuho, Yamanashi 4000502, Japan	Nagaike, T (reprint author), Yamanashi Forest Res Inst, 2290-1 Saishoji, Masuho, Yamanashi 4000502, Japan.	nagaike-zty@pref.yamanashi.lg.jp			0	2	FINNISH SOC FOREST SCIENCE-NATURAL RESOURCES INST FINLAND	VANTAA	PO BOX 18, FI-01301 VANTAA, FINLAND	http://www.metla.fi/silvafennica/	0037-5330		SILVA FENN	Silva. Fenn.	2009		43	5				755	766	12		544NS	CCC:000273665200004		Other Gold			2019-04-10
J	Howes, ALMaron, M	Howes, Alison L.; Maron, Martine		Interspecific competition and conservation management of continuous subtropical woodlands	WILDLIFE RESEARCH			English	Article	Agriculture, Biology & Environmental Sciences (ABES)	ANIMAL SCIENCES	Zoology	avian diversity, Bayesian model averaging, Brigalow Belt, ecological restoration, feral grazing, fire regimes, Manorina melanocephala, private conservation reserves	NOISY MINERS, MANORINA-MELANOCEPHALA, HABITAT RESTORATION, EUCALYPT WOODLANDS, CENTRAL QUEENSLAND, TROPICAL SAVANNAS, EASTERN AUSTRALIA, BIRD ASSEMBLAGES, PROTECTED AREAS, BELL MINERS	Context. Large reserves have potential to provide important refugia for fragmentation-sensitive species as they lack many aspects of habitat degradation associated with fragmented regions. However, large reserves often have a history of deleterious management practices that may affect the restoration of biological diversity. One significant symptom of habitat fragmentation and disturbance in Australia is the increased occurrence of the aggressive noisy miner (Manorina melanocephala). In Queensland, however, even large continuous areas of woodland appear to be dominated by the noisy miner.Aims. We examined the severity of this phenomenon by identifying the interactions between habitat structure, noisy miner abundance and avian assemblages in a private and a public conservation reserve in central Queensland. We investigated potential constraints on restoration of avian diversity including: (1) how changes in habitat structure as a result of grazing by feral animals and burning regimes affect bird assemblages; and (2) how the noisy miner impacts on avian assemblages in these unfragmented woodlands.Methods. Bird surveys and habitat assessments were conducted in 49 sites on three separate occasions. Fire history and intensity of grazing pressure were determined for each site with direct and indirect observations. Sampling for lerp from insects of the family Psyllidae was also undertaken during the survey periods. A Bayesian model averaging (BMA) approach was used to model avian response to each of the habitat variables.Key results. The noisy miner dominated most of the study area, reducing small passerine abundance and species richness. Noisy miners were advantaged where shrub cover was low and feral grazing impacts were evident. Disturbance factors including recent wild. re and heavy grazing strongly reduced small passerine bird richness and abundance.Conclusions. Reducing the abundance of this 'reverse keystone' species requires control of feral herbivore populations and modi. cation of. re regimes to achieve a mosaic including patches with a dense shrub layer.Implications. Deleterious interactions with competitive native species, such as noisy miners, are obstacles to bird conservation not only in fragmented landscapes but also in large, continuous woodland areas. Land mangers of protected areas need to be aware of shifts in interactions among native species driven by habitat disturbance, which may ultimately affect conservation outcomes.	[Howes, AL; Maron, M] Univ So Queensland, Australian Ctr Sustainable Catchments, Toowoomba, Qld 4350, Australia	Maron, M (reprint author), Univ Queensland, Sch Geog Planning & Environm Management, St Lucia, Qld 4072, Australia.	m.maron@uq.edu.au	Maron, Martine/D-9699-2011	Maron, Martine/0000-0002-5563-5789	1	35	CSIRO PUBLISHING	CLAYTON	UNIPARK, BLDG 1, LEVEL 1, 195 WELLINGTON RD, LOCKED BAG 10, CLAYTON, VIC 3168, AUSTRALIA	http://www.publish.csiro.au	1035-3712		WILDLIFE RES	Wildl. Res.	2009		36	7				617	626	10		511TV	CCC:000271192800008					2019-04-10
J	Mahon, CLSteventon, JDMartin, K	Mahon, C. Lisa; Steventon, J. Douglas; Martin, Kathy		Cavity and bark nesting bird response to partial cutting in Northern conifer forests	FOREST ECOLOGY AND MANAGEMENT			English	Article	Agriculture, Biology & Environmental Sciences (ABES)	PLANT SCIENCES	Plant Sciences	British Columbia, Cavity and bark nesters, Nest and forage tree use, Partial cutting, Relative abundance, Small-scale disturbance	INTERIOR BRITISH-COLUMBIA, SILVICULTURAL SYSTEMS, WESTERN OREGON, COAST RANGE, BLACK-HILLS, PATCH SIZE, HABITAT, COMMUNITIES, VEGETATION, DENSITY	We investigated whether partial cutting used to mimic small-scale natural disturbances could maintain cavity and bark nesting breeding birds. We assessed changes in the relative abundance of cavity nesting birds in two intensities of partial cutting, compared to uncut and clearcut stands, 9 years post-treatment. We then examined the relationship between forest structure and nesting abundance (stand scale) and compared characteristics of used nest and forage trees to unused trees (tree scale). The relative abundance of most species was highest in either heavy removal or light removal treatments 9 years post-harvest. Brown creepers were most abundant in uncut, and red-breasted sapsuckers were most abundant in clearcut and heavy removal treatments. The proportion of deciduous trees and the density of dead trees were the best predictors of nest abundance. Individual nest tree use was predicted by the presence of large deciduous trees with broken tops and early to advanced stages of decay. Forage tree use was predicted by the presence of large conifer trees in advanced stages of decay. To maintain breeding habitat for cavity nesters, we suggest that forest managers retain the specific structural attributes required for nesting, but also the diverse forest conditions required for foraging. (C) 2008 Elsevier B.V. All rights reserved.	[Mahon, CL] Univ Alberta, Dept Biol Sci, Edmonton, AB T6G 2E9, Canada; [Steventon, JD] British Columbia Minist Forests & Range, Smithers, BC V0J 2N0, Canada; [Martin, K] Univ British Columbia, Dept Forest Sci, Forest Sci Ctr, Vancouver, BC V6T 1Z4, Canada	Mahon, CL (reprint author), Univ Alberta, Dept Biol Sci, CW 405 Biol Sci Bldg, Edmonton, AB T6G 2E9, Canada.	cmahon@ualberta.ca; Doug.Steventon@gov.bc.ca; kmartin@interchange.ubc.ca			0	17	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	http://www.elsevier.com	0378-1127		FOREST ECOL MANAG	For. Ecol. Manage.	2008	DEC	256	12				2145	2153	9	10.1016/j.foreco.2008.08.005	382JR	CCC:000261602600018					2019-04-10
J	Lindenmayer, DBWood, JTCunningham, RBMacGregor, CCrane, MMichael, DMontague-Drake, RBrown, DMuntz, RGill, AM	Lindenmayer, David B.; Wood, Jeff T.; Cunningham, Ross B.; MacGregor, Christopher; Crane, Mason; Michael, Damian; Montague-Drake, Rebecca; Brown, Darren; Muntz, Rachel; Gill, A. Malcolm		TESTING HYPOTHESES ASSOCIATED WITH BIRD RESPONSES TO WILDFIRE	ECOLOGICAL APPLICATIONS			English	Article	Agriculture, Biology & Environmental Sciences (ABES)	ENVIRONMENT/ECOLOGY	Environmental Sciences & Ecology	avifauna, biological legacies, bird community, disturbance, fire history, fire severity, sedgeland, southeastern Australia, vegetation management, wildfire event	INTERMEDIATE DISTURBANCE HYPOTHESIS, PONDEROSA PINE FORESTS, BIODIVERSITY CONSERVATION, SPECIES-DIVERSITY, TALLGRASS PRAIRIE, NATIONAL FOREST, CONIFER FORESTS, FIRE FREQUENCY, BOREAL FORESTS, SEVERITY	Disturbance is a key ecological process influencing the distribution and abundance of many elements of the earth's biota. Predicting the response of biota to disturbance is therefore important, but it nevertheless remains difficult to make accurate forecasts of response. We tested predictions from disturbance-related theories and concepts in 10 vegetation types at Booderee National Park (southeastern Australia) using a retrospective study of bird responses to. re history (over 35 years) on 110 sites and a prospective study following a single wild. re event in 2003 at 59 of these sites. Our data did not support predictions from the intermediate-disturbance hypothesis; observed bird species richness at a site was significantly (F(1,99) = 6.30, P = 0.014) negatively related to the number of fires since 1972 and was 8.7% lower (95% CI, 1.8 -15.1%) for each additional. re. In contrast to. re history effects, we found that after the 2003. re, the vast majority of individual species and the bird assemblage per se in most vegetation types recovered within two years. Thus, recovery after a single. re did not reflect long-term effects of multiple fires on overall bird species richness at a site. We postulated that the recovery of bird species richness and bird assemblage composition after the 2003. re would be fastest in structurally simple vegetation types and slowest in structurally complex vegetation, but observed the opposite. Although observed bird species richness in vertically heterogeneous forest and woodland had returned to prefire levels by 2006, bird species richness in structurally simple vegetation types (e. g., sedgeland) had not. Post. re vegetation regeneration, together with a paucity of early-successional specialists, would explain the speed of recovery of the bird assemblage and why it changed relatively little during our investigation.	[Lindenmayer, DB; Wood, JT; Cunningham, RB; MacGregor, C; Crane, M; Michael, D; Montague-Drake, R; Brown, D; Muntz, R; Gill, AM] Australian Natl Univ, Fenner Sch Environm & Soc, Canberra, ACT 0200, Australia; [Wood, JT] Australian Natl Univ, Stat Consulting Unit, Canberra, ACT 0200, Australia	Lindenmayer, DB (reprint author), Australian Natl Univ, Fenner Sch Environm & Soc, GPO Box 4, Canberra, ACT 0200, Australia.	david.lindenmayer@anu.edu.au	Lindenmayer, David/P-7183-2017	Lindenmayer, David/0000-0002-4766-4088	2	34	ECOLOGICAL SOC AMER	WASHINGTON	1990 M STREET NW, STE 700, WASHINGTON, DC 20036 USA	http://www.esa.org/	1051-0761		ECOL APPL	Ecol. Appl.	2008	DEC	18	8				1967	1983	17	10.1890/07-1943.1	396QF	CCC:000262605500012	19263891				2019-04-10
J	Kolbin, VA	Kolbin, V. A.		Effect of forest fires on the avifauna of the Northern Amur Region	RUSSIAN JOURNAL OF ECOLOGY			English	Article	Agriculture, Biology & Environmental Sciences (ABES)	ENVIRONMENT/ECOLOGY	Environmental Sciences & Ecology	bird fauna, pyrogenic and fire-dependent communities, habitat patchiness, species diversity		To reveal the effect of forest fires on the avifauna of the Northern Amur Region, bird assemblages of primary dark conifer-deciduous forests, wild rosemary larch forests, and secondary larch-birch forests have been studied in the Komsomol'skii and Norskii nature reserves. It has been shown that the replacement of primary dark conifer-deciduous forests by secondary forests is accompanied by a significant decrease in bird population density, with some species being lost and the composition of the dominant species group being changed. On the other hand, fires lead to increasing patchiness of the environment, which can sometimes provide for an increase in biological diversity.	Visherskii State Nat Reserve, Krasnovishersk 618590, Perm Krai, Russia	Kolbin, VA (reprint author), Visherskii State Nat Reserve, Ul Gagarina 36B, Krasnovishersk 618590, Perm Krai, Russia.	kgularis@mail.ru			0	2	PLEIADES PUBLISHING INC	MOSCOW	PLEIADES PUBLISHING INC, MOSCOW, 00000, RUSSIA		1067-4136		RUSS J ECOL+	Russ. J. Ecol.	2008	NOV	39	6				398	404	7	10.1134/S1067413608060039	370SL	CCC:000260783300003					2019-04-10
J	Laiolo, PTella, JL	Laiolo, P.; Tella, J. L.		Social determinants of songbird vocal activity and implications for the persistence of small populations	ANIMAL CONSERVATION			English	Article	Agriculture, Biology & Environmental Sciences (ABES)	ENVIRONMENT/ECOLOGY	Environmental Sciences & Ecology	birdsong, conservation behaviour, conspecific attraction, habitat loss, larks	LARK CHERSOPHILUS-DUPONTI, BREEDING PATCH SELECTION, CONSPECIFIC ATTRACTION, HABITAT SELECTION, PUBLIC INFORMATION, FRAGMENTED LANDSCAPES, BIRD POPULATION, LESSER KESTRELS, DAWN SONG, DISPERSAL	Conspecific attraction is an important aspect of animal behaviour and several avian studies have shown that vocalizations may be used as an inadvertent cue to locate areas of suitable habitat. By studying the metapopulation system of a territorial passerine, the Dupont's lark Chersophilus duponti, we analysed the demographic correlates of population vocal activity, and the relationships between the occurrence of immigration and the availability of social information (e.g. vocal activity, population size, density and productivity) in 22 local populations. We found that the proportion of active singing days in spring and territorial call advertisement after breeding were positively related to the number of males within local populations. In turn, the intensity of vocal activity was associated with the likelihood of receiving immigrants, better explaining immigration than other kinds of social or public information. Because of depressed signalling, small local populations could experience reduced rescuing from others, thus compromising population persistence. In such cases, habitat management alone may not be enough to overcome this behavioural constraint. Because we found that the occurrence of inter-patch movements also depended on the size of nearby local populations, understanding regional processes may be as important as controlling social and environmental factors for the maintenance of small populations.	[Laiolo, P; Tella, JL] CSIC, Estac Biol Donana, Seville 41013, Spain; [Laiolo, P] CSIC UO PA, Inst Cantabr Biodivers, Oviedo, Spain	Laiolo, P (reprint author), CSIC, Estac Biol Donana, Ave M Luisa S-N, Seville 41013, Spain.	paola@ebd.csic.es	Laiolo, Paola/B-6566-2014; Tella, Jose/I-3707-2015; CSIC, EBD Donana/C-4157-2011	Laiolo, Paola/0000-0002-2009-6797; Tella, Jose/0000-0002-3038-7424; CSIC, EBD Donana/0000-0003-4318-6602	0	17	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	http://www.wiley.com/WileyCDA/	1367-9430		ANIM CONSERV	Anim. Conserv.	2008	OCT	11	5				433	441	9	10.1111/j.1469-1795.2008.00202.x	357QJ	CCC:000259860900011					2019-04-10
J	Lloyd, H	Lloyd, Huw		Influence of within-patch habitat quality on high-Andean Polylepis bird abundance	IBIS			English	Article	Agriculture, Biology & Environmental Sciences (ABES)	ANIMAL SCIENCES	Zoology	bird abundance, forest fragmentation, habitat restoration, Peru	FRAGMENTED LANDSCAPES, FOREST FRAGMENTS, ATLANTIC FOREST, SPECIES DISTRIBUTION, INSECTIVOROUS BIRDS, ECOLOGICAL THEORY, TEMPERATE FOREST, RAIN-FOREST, ASSEMBLAGES, COMMUNITY	Habitat restoration strategies for fragmented high Andean forest landscapes must consider the influence of within-patch habitat quality on bird abundance. I examined vegetation and bird abundance at three locations within a highly fragmented Polylepis forest landscape in the Cordillera Vilcanota, southern Peru. Across the landscape, there was significant variation in the vegetation structure of Polylepis forest patches of different size categories, especially in terms of tree girth, tree height, tree density, and canopy vegetation structure. Principal Component Analysis extracted five factors of habitat quality, which together accounted for 74.2% of the variability within 15 habitat variables. Polylepis bird species differed in their responses to habitat quality but, overall, variation in Polylepis bird abundance was not fully captured by the range of habitat quality variables. Tall, dense vegetation cover was clearly important for 11 conservation-important species, a high density of large trees was important for 10 species and primary forest ground cover was important for eight species. Habitat quality exhibited no significant influence on the abundance of only one species - Asthenes urubambensis. The abundance of seven species was associated with lower elevation forest, but only one species was associated with higher elevation forest. Management of habitat quality in large and medium remnant forest patches throughout the Cordillera Vilcanota, particularly in the 3800-4200 m elevation range, will be a cornerstone in ensuring the persistence of the majority of conservation-important bird species populations.	Manchester Metropolitan Univ, Dept Environm & Geog Sci, Manchester M1 5GD, Lancs, England	Lloyd, H (reprint author), Manchester Metropolitan Univ, Dept Environm & Geog Sci, Chester St, Manchester M1 5GD, Lancs, England.	H.Llyod@mmu.ac.uk			1	27	WILEY-BLACKWELL PUBLISHING, INC	MALDEN	COMMERCE PLACE, 350 MAIN ST, MALDEN 02148, MA USA	http://www.wiley.com/WileyCDA/	0019-1019		IBIS	Ibis	2008	OCT	150	4				735	745	11	10.1111/j.1474-919X.2008.00843.x	352VG	CCC:000259524900008					2019-04-10
J	Au, LAndersen, DEDavis, M	Au, Leakhena; Andersen, David E.; Davis, Mark		Patterns in bird community structure related to restoration of Minnesota dry oak savannas and across a prairie to oak woodland ecological gradient	NATURAL AREAS JOURNAL			English	Article	Agriculture, Biology & Environmental Sciences (ABES)	ENVIRONMENT/ECOLOGY	Environmental Sciences & Ecology	alternative stable states, bird communities, fire, habitat restoration, oak savanna	HABITAT RELATIONSHIPS, THRESHOLDS, DIVERSITY, REMNANT, GUILDS, SCALE, FIRE, USA	There is limited understanding of the influence of tire and Vegetation Structure on bird communities in dry oak (Quercus spp.) savannas of the Upper Midwest and whether bird communities in restored savanna habitats are similar to those in remnant savannas. During the 2001 and 2002 breeding seasons, we examined the relationship between bird communities and environmental variables, including vegetation characteristics and site prescribed-burn frequencies. across a habitat gradient in dry oak savannas in central Minnesota. The habitat gradient we studied went from: (1) prairie to (2) remnant oak savanna to (3) oak woodland undergoing savanna restoration via fire or mechanical removal of woody vegetation to (4) oak woodland. We conducted fixed-radius point Counts (n = 120) within habitats with either prairie groundcover or predominately oak canopy. We described canopy and groundcover characteristics at a sub-sample (n = 28) of non-prairie points. and collected canopy and woody species richness data and prescribed-burn frequencies over the past 20 years for all points. Observed bird communities were most strongly correlated with canopy cover and burn frequency and, to a lesser extent, attributes of the shrub component. Most savanna points had bird communities that were distinct from those found at oak woodland or oak woodland points undergoing restoration via burning. Savanna points similar to oak woodland points were in areas managed by periodic cutting rather than burning. Remnant savanna bird communities were more strongly associated with prescribed burning than those in other habitat types. but it appeared that most oak woodlands that had undergone 20 year's of prescribed burning remained ecologically distinct from remnant savannas. This suggests that some savannas that have converted to oak woodlands may exist in an alternative, or,table. ecological state even following extended restoration efforts.	[Andersen, DE] Univ Minnesota, Minnesota Cooperat Fish & Wildlife Res Unit, Dept Fisheries Wildlife & Conservat Biol, US Geol Survey, Minneapolis, MN 55108 USA; [Davis, M] Macalester Coll, Dept Biol, St Paul, MN 55105 USA	Au, L (reprint author), US Fish & Wildlife Serv, Div Bird Habitat Conservat, 4401 N Fairfax Dr,MBSP 4075, Arlington, VA 22203 USA.	leakhena_au@fws.gov			0	19	NATURAL AREAS ASSOC	ROCKFORD	320 SOUTH THIRD ST, ROCKFORD, IL 61104 USA	http://www.vmedia.com/naj	0885-8608		NAT AREA J	Nat. Areas J.	2008	OCT	28	4				330	341	12	10.3375/0885-8608(2008)28[330:PIBCSR]2.0.CO;2	368TV	CCC:000260646300002					2019-04-10
