PT	UT	AN	PM	DT	LT	TI	FT	AU	CA	BA	BE	PN	AE	DG	PC	PL	SO	SE	PY	PD	VL	IS	PS	BP	EP	LA	ME	CT	CL	CY	SP	U1	U2	AB	C1	EM	RI	OI	PU	PA	SC	SN	EI	DI	BN	MC	CC	TA	DS	CH	GN	SD	GE	TM	MQ	PR	MI	OA	HC	HP	DA
J	BIOSIS:PREV200900489409	PREV200900489409		Article		Characteristics of Breeding Bird Communities between Natural and Fired Forests in Ussuri, Russia		Lee, Woo-Shin; Rhim, Shin-Jae (sjrhim@cau.ac.kr) ; Lee, Eun-Jae; Kurdiukov, Alexey									Journal of Korean Forestry Society		2009	JUN 2009	98	3	279-283	279	283	Korean						0	2	This Study was conducted to clarify the breeding bird communities between natural and fired forests in Verchneussuriisky Research Forest (44 degrees 02' N, 134 degrees 10' E) Institute of Biology and Soil Science, Far-East Branch, Russian Academy of Science at Ussuri, Russia from 7 to 11 June 2008. Total 37 species of birds were recorded in both Study sites. Luscinia cyane, Uroshena squameiceps, and Emberiza tristrami were most dominant species. In natural forest, 115 individuals of 32 species were observed and bird species diversity (H') was 3.13. Sixty two individuals of 29 species were recorded and bird species diversity was 3.12 in fired forest. Bush and Canopy nesting guilds were higher in natural forest than in fired forest. But hole nesting guild was higher in fired forest. In foraging guilds, canopy foraging guild was most dominant in both study site. Air and bush foraging guilds were higher in natural forest. The differences of bird communities would be caused by differences of habitat conditions between Study sites.	Rhim, Shin-Jae; Chung Ang Univ, Dept Anim Sci and Technol, Ansung 456756, South Korea						Environmental Sciences & Ecology; Forestry; Biodiversity & Conservation; Life Sciences & Biomedicine - Other Topics	0445-4650				Terrestrial Ecology (Ecology, Environmental Sciences); Forestry; Biodiversity; Population Studies	07502, Ecology: environmental biology - General and methods; 07508, Ecology: environmental biology - Animal; 37001, Public health - General and miscellaneous; 53500, Forestry and forest products	Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Passeriformes [85548]; [Luscinia cyane] [Urosphena squameiceps] [Emberiza tristrami]					Ussuri; Russia, Asia, Europe; Palearctic region				species diversity; natural forest; habitat condition; foraging guild; Verchneussuriisky Research Forest Institute; breeding bird community characteristics; fired forest; canopy foraging guild				2019-04-10	
J	BIOSIS:PREV200900547506	PREV200900547506		Article		EFFECTS OF HYDROLOGIC RESTORATION ON BIRDS BREEDING IN FORESTED WETLANDS		Hoover, Jeffrey P. (jhoover@inhs.uiuc.edu)									Wetlands		2009	JUN 2009	29	2	563-573	563	573	English						0	39	Channelization of rivers and streams threatens bottomland forest bird communities because it can lead to the formation of lateral gullies that connect streams to adjacent wetlands and unnaturally accelerate the draining of wetlands, potentially exposing some birds to high rates of nest predation. I Studied how the hydrologic restoration of off-channel wetlands (plugging gullies that drain off-channel wetlands) affects the diversity, abundance, and nesting success of birds breeding within forested wetlands within the Cache River watershed in Illinois. I compared surface area, water depth, bird diversity, bird densities, and nesting success between treatment (gully plugs added) and control (gully plugs not added) wetlands pre- and post-treatment. During the breeding season of birds, treatment wetlands retained more flooded area and greater depths of water compared to,control wetlands. Bird diversity was unaffected by the installation of gully plugs. The density and nesting success of prothonotary warblers (Protonotaria citrea) was higher in treatment wetlands than in control wetlands. Documenting changes in the bird community in response to this conservation action provides a means to measure the success of restoration activities in the Cache River watershed and inform conservation plans and restoration. efforts in other bottomland forest ecosystems.	Hoover, Jeffrey P.; Illinois Nat Hist Survey, Div Ecol and Conservat Sci, 1816 S Oak St, Champaign, IL 61820 USA						Reproductive Biology; Biodiversity & Conservation	0277-5212		10.1672/08-75.1		Reproductive System (Reproduction); Biodiversity; Conservation	00512, General biology - Conservation and resource management; 07502, Ecology: environmental biology - General and methods; 07508, Ecology: environmental biology - Animal; 16504, Reproductive system - Physiology and biochemistry	Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Passeriformes [85548]; [Protonotaria citrea; prothonotary warbler]					Cache; Illinois, USA, North America; Nearctic region				species diversity; forested wetland; conservation action; river channelization; bottomland forest ecosystem; hydrologic restoration; birds breeding; nest preaation				2019-04-10	
J	BIOSIS:PREV200900240947	PREV200900240947	19040653	Article		Grassland Bird Responses to Land Management in the Largest Remaining Tallgrass Prairie		Rahmig, Corina J.; Jensen, William E.; With, Kimberly A. (kwith@ksu.edu)									Conservation Biology		2009	APR 2009	23	2	420-432	420	432	English						4	96	Extensive habitat loss and changing agricultural practices have caused widespread declines in grassland birds throughout North America. The Flint Hills of Kansas and Oklahoma-the largest remaining tallgrass prairie-is important for grassland bird conservation despite supporting a major cattle industry. In 2004 and 2005, we assessed the community, population, and demographic responses of grassland birds to the predominant management practices (grazing, burning, and haying) of the region, including grasslands restored under the Conservation Reserve Program (CRP). We targeted 3 species at the core of this avian community: the Dickcissel (Spiza americana), Grasshopper Sparrow (Ammodramus savannarum), and Eastern Meadowlark (Sturnella magna). Bird diversity was higher in native prairie hayfields and grazed pastures than CRP fields, which were dominated by Dickcissels. Although Dickcissel density was highest in CRP, their nest success was highest and nest parasitism by Brown-headed Cowbirds (Moluthrus ater) lowest in unburned hayfields (in 2004). Conversely, Grasshopper Sparrow density was highest in grazed pastures, but their nest success was lowest in these pastures and highest in burned hayfields, where cowbird parasitism was also lowest (in 2004). Management did not influence density and nest survival of Eastern Meadowlarks, which were uniformly low across the region. Nest success was extremely low (5-12%) for all 3 species in 2005, perhaps because of a record spring drought. Although the CRP has benefited grassland birds in agricultural landscapes, these areas may have lower habitat value in the context of native prairie. Hayfields may provide beneficial habitat for some grassland birds in the Flint Hills because they are mowed later in the breeding season than elsewhere in the Midwest. Widespread grazing and annual burning have homogenized habitat-and thus grassland-bird responses-across the Flint Hills. Diversification of management practices could increase habitat heterogeneity and enhance the conservation potential of the Flint Hills for grassland birds.	With, Kimberly A.; Kansas State Univ, Div Biol, Ackert Hall, Manhattan, KS 66506 USA		With, Kimberly/J-5124-2014	With, Kimberly/0000-0001-5570-1515			Environmental Sciences & Ecology; Biodiversity & Conservation	0888-8892	1523-1739	10.1111/j.1523-1739.2008.01118.x		Terrestrial Ecology (Ecology, Environmental Sciences); Wildlife Management (Conservation)	00512, General biology - Conservation and resource management; 07502, Ecology: environmental biology - General and methods; 07508, Ecology: environmental biology - Animal; 07518, Ecology: environmental biology - Wildlife management: terrestrial	Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Passeriformes [85548]; [Ammodramus savannarum; grasshopper sparrow] [Spiza americana; dickcissel] [Sturnella magna; eastern meadowlark] [Moluthrus ater; brown-headed cowbird]					Flint Hills; USA, North America; Nearctic region				species diversity; species conservation; nest success; Conservation Reserve Program; land management practice; species response; tallgrass prairie ecosystem				2019-04-10	
J	BIOSIS:PREV200900262167	PREV200900262167	19425425	Article		Quantifying the multi-scale response of avifauna to prescribed fire experiments in the southwest United States		Dickson, Brett G. (brett.dickson@nau.edu) ; Noon, Barry R.; Flather, Curtis H.; Jentsch, Stephanie; Block, William M.									Ecological Applications		2009	APR 2009	19	3	608-621	608	621	English						1	20	Landscape-scale disturbance events, including ecological restoration and fuel reduction activities, can modify habitat and affect relationships between species and their environment. To reduce the risk of uncharacteristic stand-replacing. res in the southwestern United States, land managers are implementing restoration and fuels treatments ( e. g., mechanical thinning, prescribed. re) in progressively larger stands of dry, lower elevation ponderosa pine ( Pinus ponderosa) forest. We used a Before-After/Control-Impact experimental design to quantify the multi-scale response of avifauna to large (similar to 250-400 ha) prescribed. re treatments on four sites in Arizona and New Mexico dominated by ponderosa pine. Using distance sampling and an information-theoretic approach, we estimated changes in density for 14 bird species detected before (May-June 2002-2003) and after (May-June 2004-2005) prescribed. re treatments. We observed few site-level differences in pre- and posttreatment density, and no species responded strongly to treatment on all four sites. Point-level spatial models of individual species response to treatment, habitat variables, and. re severity revealed ecological relationships that were more easily interpreted. At this scale, pretreatment forest structure and patch characteristics were important predictors of posttreatment differences in bird species density. Five species ( Pygmy Nuthatch [Sitta pygmaea], Western Bluebird [Sialia mexicana], Steller's Jay [Cyanocitta stelleri], American Robin [Turdus migratorius], and Hairy Woodpecker [Picoides villosus]) exhibited a strong treatment response, and two of these species ( American Robin and Hairy Woodpecker) could be associated with meaningful. re severity response functions. The avifaunal response patterns that we observed were not always consistent with those reported by more common studies of wildland. re events. Our results suggest that, in the short term, the distribution and abundance of common members of the breeding bird community in Southwestern ponderosa pine forests appear to be tolerant of low- to moderate-intensity prescribed. re treatments at multiple spatial scales and across multiple geographic locations.	Dickson, Brett G.; No Arizona Univ, Ctr Sustainable Environm, Flagstaff, AZ 86011 USA		Flather, Curtis/G-3577-2012	Flather, Curtis/0000-0002-0623-3126			Life Sciences & Biomedicine - Other Topics; Science & Technology - Other Topics; Forestry; Biodiversity & Conservation	1051-0761	1939-5582	10.1890/08-0905.1		Biogeography (Population Studies); Methods and Techniques; Forestry; Wildlife Management (Conservation)	00512, General biology - Conservation and resource management; 07502, Ecology: environmental biology - General and methods; 07506, Ecology: environmental biology - Plant; 07508, Ecology: environmental biology - Animal; 07518, Ecology: environmental biology - Wildlife management: terrestrial; 50528, Botany: general and systematic - Floristics and distribution; 53500, Forestry and forest products; 62800, Animal distribution	Gymnospermae, Spermatophyta, Plantae; Gymnosperms, Plants, Spermatophytes, Vascular Plants; Coniferopsida [25102]; [Pinus ponderosa; ponderosa pine]/Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Passeriformes [85548]; [Sialia mexicana; western bluebird; (protected species)] [Sitta pygmaea; pygmy nuthatch; (protected species)] [Cyanocitta stelleri; Steller's jay; (protected species)] [Turdus migratorius; American robin; (protected species)]/Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Piciformes [85552]; [Picoides villosus; hairy woodpecker; (protected species)]					Arizona; USA, North America; Nearctic region/New Mexico; USA, North America; Nearctic region		avifauna multi-scale response quantification; applied and field techniques		species abundance; species distribution; forest structure; species density; habitat variable; fire severity; fuel reduction; ecological relationship; avifaunal response				2019-04-10	
J	BIOSIS:PREV200900262893	PREV200900262893		Article		Bird communities following high-severity fire: Response to single and repeat fires in a mixed-evergreen forest, Oregon, USA		Fontaine, Joseph B. (j.fontaine@murdoch.edu.au) ; Donato, Daniel C. (dan.donato@oregonstate.edu) ; Robinson, W. Douglas (douglas.robinson@oregonstate.edu) ; Law, Beverly E. (bev.law@oregonstate.edu) ; Kauffman, J. Boone (boonekauffman@fs.fed.us)									Forest Ecology and Management		2009	MAR 10 2009	257	6	1496-1504	1496	1504	English						5	47	Fire is a widespread natural disturbance agent in most conifer-dominated forests. In light of climate change and the effects of fire exclusion, single and repeated high-severity (stand-replacement) fires have become prominent land management issues. We studied bird communities using point counting in the Klamath-Siskiyou ecoregion of Oregon, USA at various points in time after one or two high-severity fires. Time points included 2 and 3 years after a single fire, 17 and 18 years after a single fire, 2 and 3 years after a repeat fire (15 year interval between fires), and >100 years since stand-replacement fire (mature/old-growth forest). Avian species richness did not differ significantly among habitats. Bird density was highest 17 and 18 years after fire, lowest 2 years after fire, and intermediate in repeat burns and unburned forest. Bird community composition varied significantly with habitat type (A = 0.24, P < 0.0001) with two distinct gradients in species composition relating to tree structure (live to dead) and shrub stature. Using indicator species analysis, repeat burns were characterized by shrub-nesting and ground-foraging bird species while unburned mature forests were characterized by conifer-nesting and foliage-gleaning species. Bird density was not related to snag basal area but was positively related to shrub height. Contrary to expectations, repeated high-severity fire did not reduce species richness, and bird densities were greater in repeat burns than in once-burned habitats. Broad-leaved hardwoods and shrubs appear to play a major role in structuring avian communities in the Klamath-Siskiyou region. In light of these results, extended periods of early seral broadleaf dominance and short-interval high-severity fires may be important to the conservation of avian biodiversity. (C) 2009 Elsevier B.V. All rights reserved.	Fontaine, Joseph B.; Murdoch Univ, Sch Environm Sci, Perth, WA 6150, Australia		Fontaine, Joseph/M-9186-2013; Law, Beverly/G-3882-2010	Fontaine, Joseph/0000-0002-6515-7864; Law, Beverly/0000-0002-1605-1203			Life Sciences & Biomedicine - Other Topics; Biodiversity & Conservation; Forestry	0378-1127	1872-7042	10.1016/j.foreco.2008.12.030		Biogeography (Population Studies); Biodiversity; Forestry; Wildlife Management (Conservation)	00512, General biology - Conservation and resource management; 07502, Ecology: environmental biology - General and methods; 07508, Ecology: environmental biology - Animal; 07518, Ecology: environmental biology - Wildlife management: terrestrial; 53500, Forestry and forest products; 62800, Animal distribution	Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Aves [85500]; [bird]					Oregon; USA, North America; Nearctic region				community composition; biodiversity conservation; mixed-evergreen forest; high-severity fire; land management issues; foliage-gleaning species; unburned mature forests; structuring avian communities				2019-04-10	
J	BIOSIS:PREV200900221698	PREV200900221698		Article		Changes in the flora of Thoreau's Concord		Primack, Richard B. (primack@bu.edu) ; Miller-Rushing, Abraham J. (abe@wildlife.org) ; Dharaneeswaran, Kiruba (kiruba34@gmail.com)									Biological Conservation		2009	MAR 2009	142	3	500-508	500	508	English						0	40	To determine the effectiveness of conservation efforts, scientists and land managers must evaluate the ability of conservation areas to protect biological diversity. The historic town of Concord, Massachusetts, home of the philosopher and naturalist Henry David Thoreau, provides a unique opportunity to examine how well conservation areas preserve biodiversity in a suburban landscape. About 35% of total land area in the town has been protected, and botanists, including Thoreau, have surveyed plants in Concord five times over the last 170 years. We spent 5 years (2003-2007) re-surveying a subset of Concord's flora for species presence and abundance. Of the species seen by Thoreau in the mid-19th century in Concord, we could not locate 27%, and an additional 36% persist in one or two populations where they are vulnerable to local extinction. Most species losses appear to have occurred in the past three to four decades. Certain groups, such as orchids, have shown particularly severe losses. More native species are declining in abundance than are increasing. Non-native species represent an increasing percentage of the flora, with many increasing in abundance. The flora has experienced a net loss of species over the past four decades, with 82 species gained and 236 species missing. Because many species are rare on a local scale, persisting as one or two small populations, local extinctions will likely continue in coming decades. Habitat management, primarily to prevent tree establishment, appears to have allowed many rare species of open habitats to persist and recover. Active management of existing sites will likely be the key to protecting the species diversity of the Concord flora and maintaining the living connection to the writings of Thoreau. (C) 2008 Elsevier Ltd. All rights reserved.	Primack, Richard B.; Boston Univ, Dept Biol, 5 Cummington St, Boston, MA 02215 USA		Miller-Rushing, Abraham/D-5102-2009	Miller-Rushing, Abraham/0000-0003-3203-0143			Environmental Sciences & Ecology; Biodiversity & Conservation	0006-3207	1873-2917	10.1016/j.biocon.2008.10.038		Terrestrial Ecology (Ecology, Environmental Sciences); Biodiversity; Conservation	00512, General biology - Conservation and resource management; 07502, Ecology: environmental biology - General and methods; 07506, Ecology: environmental biology - Plant	Plantae; Plants; Plantae [11000]; [plant; (protected species)]					Massachusetts; USA, North America; Nearctic region/Concord; USA, North America; Nearctic region		survey; applied and field techniques		species diversity; habitat management; conservation effort; Henry David Thoreau (philosopher)				2019-04-10	
J	BIOSIS:PREV201000268657	PREV201000268657		Article		EVALUATING AVIAN COMMUNITY DYNAMICS IN RESTORED RIPARIAN HABITATS WITH MARK-RECAPTURE MODELS		Johnson, T. N. (tracey.johnson@oregonstate.edu) ; Applegate, R. D.; Hoover, D. E.; Gipson, P. S.; Sandercock, B. K.									Wilson Journal of Ornithology		2009	MAR 2009	121	1	22-40	22	40	English						1	10	Estimates of community attributes such as species richness, local extinction, and turnover are critical when evaluating ecological restoration efforts. Estimates of species richness based on counts can be biased by variation in the probability of detection among different species. We quantified the effects of livestock exclusion on riparian bird communities using mark-recapture models to account for variation in species detection rates. Specifically, we estimated species richness and other community parameters for fenced and grazed sites with robust design models where closed-captures were treated as mixtures, and then used transition rates to calculate derived vital rates for avian communities. Estimates of species richness based on unadjusted counts were correlated with estimates from robust design models, but counts failed to detect important temporal changes in species richness. Estimates of species richness from robust design models increased at fenced and grazed sites over an 8-year period, but community vital rates were unaffected by cattle exclusion. We examined qualitative changes in abundance of birds in four nesting guilds, and concluded that temporal changes may have been driven by regional dynamics in avian communities. Our mark-recapture analysis allowed us to compare standardized estimates of community parameters between habitats, observers, and time periods after accounting for variation in detection rates. Robust design models are a useful tool that will facilitate accurate assessments of community dynamics following future restoration efforts. Received 12 March 2007. Accepted 29 June 2008.	Johnson, T. N.; Kansas State Univ, Div Biol, 116 Ackert Hall, Manhattan, KS 66506 USA		Sandercock, Brett/L-1644-2016	Sandercock, Brett/0000-0002-9240-0268			Environmental Sciences & Ecology; Mathematical & Computational Biology; Biodiversity & Conservation	1559-4491	1938-5447	10.1676/07-044.1		Ecology (Environmental Sciences); Mathematical Biology (Computational Biology); Biodiversity	04500, Mathematical biology and statistical methods; 07502, Ecology: environmental biology - General and methods; 07508, Ecology: environmental biology - Animal	Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Aves [85500]; [bird]/Artiodactyla, Mammalia, Vertebrata, Chordata, Animalia; Animals, Artiodactyls, Chordates, Mammals, Nonhuman Vertebrates, Nonhuman Mammals, Vertebrates; Bovidae [85715]; [cattle]							mark-recapture; applied and field techniques/robust design model; mathematical and computer techniques		species richness; local extinction; ecological restoration; riparian habitat; avian community dynamics; nesting guild; species detection rate				2019-04-10	
J	BIOSIS:PREV200900181846	PREV200900181846		Article		Influences of postfire salvage logging on forest birds in the Eastern Cascades, Oregon, USA		Cahall, Rebecca E. (rebecca.cahall@earthlink.net) ; Hayes, John P. (hayesj@ufl.edu)									Forest Ecology and Management		2009	FEB 10 2009	257	3	1119-1128	1119	1128	English						0	23	In coniferous forests of western North American, fire is an important disturbance that influences the structure and composition of floral and faunal communities. The impacts of postfire management, including salvage logging and replanting, on these forests are not well known. We compared densities and relative abundances of forest birds after fire in unsalvaged stands and stands subjected to one of two intensities of salvage logging (moderate, 30 snags retained per ha and heavy, 5-6 snags retained per ha) in mixed-conifer forests in central Oregon. We used analysis of variance with repeated measures to evaluate three hypotheses concerning the influence of different intensities of salvage on densities or relative abundances of sixteen species of birds, and two hypotheses concerning the influence of time since salvage logging on relative abundances or densities of birds. We also examined the relationship between vegetation and abundances of each bird species. We did not detect significant differences among treatments in densities or relative abundances for eight species and one genus of birds. We detected significant differences for seven species, though the patterns differed among species. Relative abundances or densities of the black-backed woodpecker (Picoides arcticus), hairy woodpecker (P. villosus), brown creeper (Certhia americana), western wood-pewee (Contopus sordidulus) and yellow-rumped warbler (Dendroica coronata) were lower in the heavy and moderate salvage treatment compared to the unsalvaged treatment, while densities of the dark-eyed junco (Junco hyemalis) and fox sparrow (Passerella iliaca) were greater in the moderately and heavily salvaged stands than in the unsalvaged treatment. We detected significant differences between years for four species of birds. Our findings suggest that both cavity-nesting and cup-nesting species respond to salvage logging, and that some species respond uniquely to habitat features influenced by salvage logging. For species that responded negatively to salvage logging, the moderate salvage intensity did not appear to mitigate the negative influence of salvage logging. Areas of unlogged burned forest appear to provide important habitat for some species of birds following forest fires. Our findings parallel those of other recent studies of these species, suggesting robust patterns that transcend particular locations. (C) 2008 Elsevier B.V. All rights reserved.	Cahall, Rebecca E.; Oregon State Univ, Dept Forest Sci, Peavy Hall 154, Corvallis, OR 97331 USA		Hayes, John/C-7967-2016	Hayes, John/0000-0002-6462-6876			Science & Technology - Other Topics; Environmental Sciences & Ecology; Life Sciences & Biomedicine - Other Topics	0378-1127	1872-7042	10.1016/j.foreco.2008.11.019		Methods and Techniques; Terrestrial Ecology (Ecology, Environmental Sciences); Biogeography (Population Studies)	07502, Ecology: environmental biology - General and methods; 07508, Ecology: environmental biology - Animal; 62800, Animal distribution	Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Passeriformes [85548]; [Certhia americana; brown creeper] [Contopus sordidulus; western wood-pewee] [Dendroica coronata; yellow-rumped warbler] [Passerella iliaca; fox sparrow] [Junco hyemalis; dark-eyed junco]/Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Piciformes [85552]; [Picoides villosus; hairy woodpecker] [Picoides arcticus; black-backed woodpecker]					Oregon; USA, North America; Nearctic region		salvage logging; applied and field techniques/postfire management; applied and field techniques/forest reimplanting; applied and field techniques		species abundance; species density; habitat feature				2019-04-10	
J	BIOSIS:PREV200900088312	PREV200900088312		Article		Effect of stand age on bird communities in late-successional Macedonian pine forests in Bulgaria		Nikolov, Stoyan C. (nikolov100yan@abv.bg)									Forest Ecology and Management		2009	JAN 31 2009	257	2	580-587	580	587	English						1	24	To gain insight into the question of which vegetation characteristics have the most influence on avian assemblages in late-successional forests, the habitat preferences of bird-guilds in old-growth endemic forests of Macedonian pine were studied over 3 years in the Pirin National Park, Bulgaria. Bird-habitat relationships were investigated by comparing vegetation characteristics, and bird species richness, diversity, abundance, and guild structure of birds (determined according to food type, foraging and nesting sites) between mature (60-100 years old) and over-mature (>120 years old) Macedonian pine forest stands. Studied forest age-classes differed mainly by the density, height and diameter of trees, and the amount of dead wood. The first one of these parameters decreased and the latter two parameters increased with the forest succession. The difference in the vegetation structure affected the abundance of bird-guilds and thus, the overall bird abundance and the structure of avian assemblages within Macedonian pine forests. There was no significant difference in bird diversity among studied forest age-classes, but the overall bird abundance increased with forest maturation. Analyzed by study plots, species richness was higher in over-mature forests, but at cluster level, there was no significant difference between mature and over-mature forest age-classes. Half of the studied (insectivorous, hole- and ground-nesters, bark- and canopy-foraging bird species) guilds were more abundant in over-mature forests, while there was no bird-guild exhibiting a preference for mature forest stands. The abundances of bird-guilds were correlated with tree height, diameter at breast height and the amount of dead wood between the studied forest age-classes and this might explain their preferences for over-mature pine forests. Therefore, for future sustainable management of these endemic forests and the conservation of their avifauna, efforts should focus on protecting the remaining native old-growth forest stands and the importance of the structure of Macedonian pine forests on their bird assemblages should be considered in forestry practices. (C) 2008 Elsevier B.V. All rights reserved.	Nikolov, Stoyan C.; BAS, Cent Lab Gen Ecol, 2 Yurii Gagarin St, BG-1113 Sofia, Bulgaria		Nikolov, Stoyan/F-5548-2011				Life Sciences & Biomedicine - Other Topics; Environmental Sciences & Ecology; Biodiversity & Conservation	0378-1127	1872-7042	10.1016/j.foreco.2008.09.030		Biogeography (Population Studies); Terrestrial Ecology (Ecology, Environmental Sciences); Biodiversity; Wildlife Management (Conservation)	00512, General biology - Conservation and resource management; 07502, Ecology: environmental biology - General and methods; 07506, Ecology: environmental biology - Plant; 07508, Ecology: environmental biology - Animal; 07518, Ecology: environmental biology - Wildlife management: terrestrial; 50528, Botany: general and systematic - Floristics and distribution; 62800, Animal distribution	Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Aves [85500]; [bird]/Gymnospermae, Spermatophyta, Plantae; Gymnosperms, Plants, Spermatophytes, Vascular Plants; Coniferopsida [25102]; [Macedonian pine]					Bulgaria; Europe; Palearctic region				species richness; habitat preference; abundance; vegetation structure; dead wood; stand age; forest succession; vegetation characteristics; forest maturation; divers; late-successional Macedonian pine forest; bird-guild; forest age-class; canopy-foraging; bark-foraging; endemic forest management				2019-04-10	
J	BIOSIS:PREV200900111723	PREV200900111723		Article		Moving riparian management guidelines towards a natural disturbance model: An example using boreal riparian and shoreline forest bird communities		Kardynal, Kevin J.; Hobson, Keith A. (keith.hobson@ec.gc.ca) ; Van Wilgenburg, Steven L.; Morissette, Julienne L.									Forest Ecology and Management		2009	JAN 20 2009	257	1	54-65	54	65	English						2	28	Forest harvesting strategies that approximate natural disturbances have been proposed as a means of maintaining natural species' diversity and richness in the boreal forests of North America. Natural disturbances impact shoreline forests and upland areas at similar rates. However, shoreline forests are generally protected from harvest through the retention of treed buffer strips. We examined bird community responses to forest management guidelines intended to approximate shoreline forest fires by comparing bird community structure in early (1-4 years) post-burned and harvested boreal riparian habitats and the adjacent shoreline forest. We sampled riparian areas with adjacent: (1) burned merchantable shoreline forest (n = 21), (2) burned non-merchantable shoreline forest (n = 29), (3) 10 m treed buffer with 25% retention in the next 30 rn (n = 18), and (4) 30 m treed buffer (n = 21). Only minor differences were detected in riparian species' abundance and bird community composition between treatments with greater differences in these parameters occurring between post-fire and post-harvest upland bird communities. Indicators of all merchantable treatments were dominated by upland species with open-habitat species and habitat generalists being typical upland indicator species of burned merchantable habitats and forest specialists typical upland indicators of harvested treatments. Riparian species indicative of burned riparian habitats were Common Yellowthroat (Geothlypis trichas), Le Conte's Sparrow (Ammodramus leconteii) and Eastern Kingbird (Tyrannus tyrannus) and indicators of 30 m buffers were Alder Flycatcher (Empidonax alnorum) and Wilson's Warbler (Wilsonia pusilla). Multivariate Redundancy Analysis (RDA) of the overall (riparian and upland birds) community showed greater divergence than RDA with only riparian species suggesting less effect of fire and forestry on riparian birds than on upland birds. Higher natural range of variability (NRV) of overall post-fire bird communities compared to post-harvest communities emphasizes that harvesting guidelines currently do not achieve this level of variability. However, lack of a large negative effect on common riparian species in the first 4 years post-disturbance allows for the exploration of alternative shoreline forest management that better incorporates bird community composition of post-fire riparian areas and shoreline forests. (C) 2008 Elsevier B.V. All rights reserved.	Hobson, Keith A.; Environm Canada, 11 Innovat Pl, Saskatoon, SK S7N 3H5, Canada			Van Wilgenburg, Steven/0000-0002-6742-4567			Biodiversity & Conservation; Environmental Sciences & Ecology	0378-1127	1872-7042	10.1016/j.foreco.2008.08.029		Conservation; Terrestrial Ecology (Ecology, Environmental Sciences); Biodiversity	00512, General biology - Conservation and resource management; 07502, Ecology: environmental biology - General and methods; 07508, Ecology: environmental biology - Animal	Aves, Vertebrata, Chordata, Animalia; Animals, Birds, Chordates, Nonhuman Vertebrates, Vertebrates; Passeriformes [85548]; [Empidonax alnorum; alder flycatcher] [Wilsonia pusilla; Wilson's warbler] [Geothlypis trichas; yellowthroat] [Tyrannus tyrannus; eastern kingbird] [Ammodramus leconteii; sparrow]									species richness; species diversity; natural disturbance; bird community composition; forest management guideline; bird community structure; boreal riparian habitat				2019-04-10	
